ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
70,0.0018768596928566694,0.0018768596928566694,9.155413e-05,9.155413e-05,0.0685893,0.031235218,0.0021144593357347585,0.0020202971588631673,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1051754053199468e-05,0.0005680521,0.00036063284,5289984,4750198,11185.456,9596.812,0.0020904859993606806,0.0020447089336812496
71,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.06115816,0.06115816,0.002174930705426047,0.00205542227798041,0.0019684138,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.1680912471554643e-05,0.0007336048,0.0004682749,5289984,4612352,11505.349,9480.331,0.002121004043146968,0.0020599679555743933
72,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.016418708,0.016418708,0.00207138799947221,0.0020088897872159043,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.0830603656312537e-05,0.00046555843,0.00031251268,5289984,4800629,10957.609,9643.935,0.002075226977467537,0.0020447089336812496
73,0.0019073777366429567,0.001892118714749813,0.00010681315,9.155413e-05,0.1309987,0.04760815,0.0021338505288957398,0.0020424695043878946,0.0019989319,0.0019684138,0.0015411612,0.0015411612,1.8903648857917152e-05,2.5084075550225468e-05,0.00069714576,0.00038270082,5289984,3986593,11288.035,8142.4946,0.0021362630650401115,0.002075226977467537
74,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.15574883,0.039246205,0.0021042796100612026,0.0020205427343051668,0.0019836728,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.527185566939965e-05,0.0008541505,0.0003400127,5289984,3956971,11131.605,7995.229,0.002121004043146968,0.0020599679555743933
75,0.0019073777366429567,0.001892118714749813,0.00012207218,9.155413e-05,0.17079423,0.0446479,0.0021822935289714488,0.002058707303209291,0.0019989319,0.0019684138,0.0015106432,0.0015106432,1.8903648857917152e-05,2.4840098078643252e-05,0.0009749656,0.00040427656,5289984,4025749,11544.298,8287.839,0.002166781108826399,0.002075226977467537
76,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.13333334,0.13333334,0.00207232450543565,0.002003412671363278,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.169636030538061e-05,0.00071941025,0.0004912201,5289984,4609068,10962.563,9233.865,0.002075226977467537,0.0020447089336812496
77,0.001892118714749813,0.0018768596928566694,0.00010681315,9.155413e-05,0.106202796,0.046311133,0.002134320535633945,0.0020352302133661666,0.0019836728,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.4149147064200267e-05,0.0007333172,0.00038562878,5289984,4140933,11290.521,8427.752,0.002121004043146968,0.0020599679555743933
78,0.001892118714749813,0.0018768596928566694,9.155413e-05,7.629511e-05,0.18887617,0.050217442,0.0021082853744808115,0.00201833556832369,0.0019684138,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.3188556354684736e-05,0.00090408925,0.0004442011,5289984,4312472,11152.796,8704.016,0.0020904859993606806,0.0020447089336812496
79,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.12748913,0.03367666,0.0020351836351844353,0.0019780627958042468,0.0019531548,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,2.1226478673650745e-05,0.0005894858,0.00021873598,5289984,4711097,10766.089,9318.846,0.0020599679555743933,0.002029449911788106
80,0.0018768596928566694,0.0018768596928566694,9.155413e-05,7.629511e-05,0.10489052,0.046387427,0.002046804394871516,0.001981810465543614,0.0019531548,0.0019378958,0.0015411612,0.0015411612,1.8903648857917152e-05,2.10576277782118e-05,0.0006486274,0.0002584149,5289984,4748873,10827.5625,9411.366,0.0020599679555743933,0.002029449911788106
