ImageNumber,Intensity_LowerQuartileIntensity_MIRO160mer,Intensity_LowerQuartileIntensity_Subtract_perinucleus_Miro160mer,Intensity_MADIntensity_MIRO160mer,Intensity_MADIntensity_Subtract_perinucleus_Miro160mer,Intensity_MaxIntensity_MIRO160mer,Intensity_MaxIntensity_Subtract_perinucleus_Miro160mer,Intensity_MeanIntensity_MIRO160mer,Intensity_MeanIntensity_Subtract_perinucleus_Miro160mer,Intensity_MedianIntensity_MIRO160mer,Intensity_MedianIntensity_Subtract_perinucleus_Miro160mer,Intensity_MinIntensity_MIRO160mer,Intensity_MinIntensity_Subtract_perinucleus_Miro160mer,Intensity_PercentMaximal_MIRO160mer,Intensity_PercentMaximal_Subtract_perinucleus_Miro160mer,Intensity_StdIntensity_MIRO160mer,Intensity_StdIntensity_Subtract_perinucleus_Miro160mer,Intensity_TotalArea_MIRO160mer,Intensity_TotalArea_Subtract_perinucleus_Miro160mer,Intensity_TotalIntensity_MIRO160mer,Intensity_TotalIntensity_Subtract_perinucleus_Miro160mer,Intensity_UpperQuartileIntensity_MIRO160mer,Intensity_UpperQuartileIntensity_Subtract_perinucleus_Miro160mer
99,0.0018768596928566694,0.0018616006709635258,0.00012207218,0.00010681315,0.15800717,0.07917906,0.0022030526521913864,0.0021003010887023226,0.0019684138,0.0019531548,0.0015106432,0.0015106432,1.8903648857917152e-05,2.9902473084036415e-05,0.0012311478,0.0006947498,5289984,3344205,11654.113,7023.8374,0.002151522086933255,0.0021057450212538242
100,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.10759136,0.07447929,0.002122421020968589,0.002021105715166578,0.0019378958,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,2.5450609402116828e-05,0.00097558426,0.00053015817,5289984,3929179,11227.573,7941.286,0.0020904859993606806,0.0020447089336812496
101,0.0018616006709635258,0.0018463416490703821,0.00010681315,9.155413e-05,0.11004806,0.07483024,0.002132197198044455,0.0020369822575001567,0.0019531548,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,2.714792333317859e-05,0.0009882337,0.0005410155,5289984,3683523,11279.289,7503.271,0.0021057450212538242,0.0020599679555743933
102,0.0018463416490703821,0.0018463416490703821,0.00010681315,9.155413e-05,0.09628443,0.08975357,0.002082261658896322,0.002003087597614903,0.0019378958,0.0019226368,0.0015259022,0.0015259022,1.8903648857917152e-05,2.607105091363391e-05,0.0008650526,0.0005973953,5289984,3835672,11015.131,7683.187,0.002075226977467537,0.002029449911788106
103,0.0018768596928566694,0.0018616006709635258,0.00012207218,0.00010681315,0.13675135,0.062821396,0.002207560175571892,0.002105496949491186,0.0019836728,0.0019531548,0.0015259022,0.0015259022,1.8903648857917152e-05,3.084281698550943e-05,0.0011819814,0.0007288564,5289984,3242246,11677.958,6826.539,0.002166781108826399,0.0021057450212538242
104,0.0018463416490703821,0.0018463416490703821,0.00010681315,9.155413e-05,0.09019608,0.04197757,0.002127300525330039,0.0020360765713674065,0.0019378958,0.0019226368,0.0014953841,0.0014953841,1.8903648857917152e-05,2.623493065583129e-05,0.00095359964,0.00051586167,5289984,3811712,11253.386,7760.9375,0.0020904859993606806,0.0020447089336812496
105,0.0018768596928566694,0.0018616006709635258,0.00012207218,0.00010681315,0.105043106,0.06810101,0.002183727363353084,0.002082302512728674,0.0019684138,0.0019531548,0.0014953841,0.0015106432,1.8903648857917152e-05,3.071405886902235e-05,0.001080425,0.0005820883,5289984,3255838,11551.883,6779.6396,0.002151522086933255,0.0021057450212538242
106,0.0018616006709635258,0.0018463416490703821,0.00010681315,0.00010681315,0.13664454,0.09237812,0.00215321218510538,0.0020566849561200157,0.0019531548,0.0019378958,0.0015106432,0.0015106432,1.8903648857917152e-05,2.8073981679481035e-05,0.0010569701,0.0006221638,5289984,3562017,11390.458,7325.947,0.002121004043146968,0.0020599679555743933
107,0.0018768596928566694,0.0018616006709635258,0.00012207218,0.00012207218,0.12167544,0.06974899,0.002229126949805047,0.002137061121341212,0.0019836728,0.0019684138,0.0015259022,0.0015259022,1.8903648857917152e-05,3.2064395566904925e-05,0.0012172486,0.0007937944,5289984,3118724,11792.046,6664.904,0.0021820401307195425,0.0021362630650401115
108,0.0018768596928566694,0.0018616006709635258,0.0001373312,0.00010681315,0.08065919,0.07003891,0.002194227380342738,0.0020942459209704655,0.0019836728,0.0019531548,0.0015411612,0.0015411612,1.8903648857917152e-05,2.9031334680774346e-05,0.0010248632,0.00061962,5289984,3444554,11607.428,7213.743,0.0021820401307195425,0.0021057450212538242
